nama_produk,harga_produk,rating,jumlah_produk_terjual
 AHA 7 Whitehead Power Liquid ,206250,4.5,3400
 Salicylic Acid Daily Gentle Cleanser ,65550,4.7,10400
 Low pH Good Morning Gel Cleanser ,58650,4.7,28100
 Hyaluronic Acid Hydra Power Essence ,194350,4.6,634
 Advanced Snail 96 Mucin Power Essence ,202300,4.6,16300
 Oil Free Ultra Moisturizing Lotion (with Birch Sap) ,194935,4.7,7900
 Galactomyces 95 Tone Balancing Essence ,224250,4.6,1200
 Hyaluronic Acid Intensive Cream ,254150,4.5,1400
 Advanced Snail 92 All in One Cream ,246750,4.6,5600
 One Step Original Clear Pads ,179940,4.5,4300
 AHA/BHA Clarifying Treatment Toner ,150000,4.5,21100
 Centella Water Alcohol-Free Toner ,161250,4.6,4600
 Two in One Poreless Power Liquid ,236250,4.4,509
 One Step Green Calming Pads ,209930,4.5,595
 Centella Blemish Cream ,239200,4.3,2300
 Acne Pimple Master Patch ,50150,4.5,6500
 Clear Fit Master Patch ,41300,4.6,1700
 Aloe Soothing Sun Cream SPF 50+ PA+++ ,149925,4.6,7200
 AC Collection Acne Patch ,84150,4.6,756
 AC Collection Calming Foam Cleanser ,172000,4.7,1000
 Hydrium Centella Aqua Soothing Ampoule ,269500,4.6,360
 Hydrium Triple Hyaluronic Moisture Ampoule ,300000,4.6,307
 Hydrium Green Tea Aqua Soothing Gel Cream ,241500,4.6,351
 Acne Pimple + Clear Fit Patch ,82600,0.0,0
 Hydrium Watery Toner ,81750,4.6,1500
 Full Fit Propolis Synergy Toner ,76300,4.7,3500
 Advanced Snail Peptide Eye Cream ,352750,4.5,479
 AC Collection Calming Liquid Intensive ,252850,4.6,353
 AC Collection Blemish Spot Serum ,311250,4.6,251
 Full Fit Propolis Light Cream ,399200,4.6,399
 Full Fit Propolis Light Ampoule ,282750,4.6,424
 Hydrium Green Tea Soothing Cream + Centella Soothing Ampoule ,511000,0.0,0
 Snail Series (Advanced Snail Peptide Eye Cream + Advanced Snail 92 All in One Cream) ,558000,0.0,0
 Advanced Snail Peptide Eye Cream + Advanced Snail Mucin 96 Power Essence ,563200,0.0,0
 AC Must Have (AC Collection Calming Foam Cleanser + AC Collection Ultimate Spot Cream) ,397500,0.0,0
 AC Mild Treatment Set (Ultimate Spot Cream + Calming Liquid Mild) ,492800,0.0,0
 Acne Pimple Master Patch (Set of 3) ,141600,0.0,0
 Clear Fit Master Patch (Set of 3) ,115050,0.0,0
 Pure Fit Cica Cleanser ,161850,4.6,260
 Pure Fit Cica Cream ,329250,4.6,176
 Oily Skin Bundle ,318430,0.0,0
 Dry Skin Bundle ,248430,0.0,0
 Sensitive Skin Bundle ,476250,0.0,0
 Exfoliating + Hydrating ,409500,0.0,0
 Advanced Snail 96 Mucin Power Essence (Set of 2) ,433500,0.0,0
 Salicylic Acid Daily Gentle Cleanser (Set of 2) ,217000,0.0,0
 Centella Water Alcohol Free Toner (Set of 2) ,301000,0.0,0
