nama_produk,harga_produk,rating,jumlah_produk_terjual
 AHA 7 Whitehead Power Liquid ,Rp206.250,4.5," (3,4k) "
 Salicylic Acid Daily Gentle Cleanser ,Rp65.550-Rp116.250,4.7," (10,4k) "
 Low pH Good Morning Gel Cleanser ,Rp58.650-Rp116.250,4.7," (28,1k) "
 Hyaluronic Acid Hydra Power Essence ,Rp194.350,4.6, (634) 
 Advanced Snail 96 Mucin Power Essence ,Rp202.300,4.6," (16,3k) "
 Oil Free Ultra Moisturizing Lotion (with Birch Sap) ,Rp194.935,4.7," (7,9k) "
 Galactomyces 95 Tone Balancing Essence ,Rp224.250,4.6," (1,2k) "
 Hyaluronic Acid Intensive Cream ,Rp254.150,4.5," (1,4k) "
 Advanced Snail 92 All in One Cream ,Rp246.750,4.6," (5,6k) "
 One Step Original Clear Pads ,Rp179.940,4.5," (4,3k) "
 AHA/BHA Clarifying Treatment Toner ,Rp150.000,4.5," (21,1k) "
 Centella Water Alcohol-Free Toner ,Rp161.250,4.6," (4,6k) "
 Two in One Poreless Power Liquid ,Rp236.250,4.4, (509) 
 One Step Green Calming Pads ,Rp209.930,4.5, (595) 
 Centella Blemish Cream ,Rp239.200,4.3," (2,3k) "
 Acne Pimple Master Patch ,Rp50.150,4.5," (6,5k) "
 Clear Fit Master Patch ,Rp41.300,4.6," (1,7k) "
 Aloe Soothing Sun Cream SPF 50+ PA+++ ,Rp149.925,4.6," (7,2k) "
 AC Collection Acne Patch ,Rp84.150,4.6, (756) 
 AC Collection Calming Foam Cleanser ,Rp172.000,4.7, (1k) 
 Hydrium Centella Aqua Soothing Ampoule ,Rp269.500,4.6, (360) 
 Hydrium Triple Hyaluronic Moisture Ampoule ,Rp300.000,4.6, (307) 
 Hydrium Green Tea Aqua Soothing Gel Cream ,Rp241.500,4.6, (351) 
 Acne Pimple + Clear Fit Patch ,Rp82.600,,
 Hydrium Watery Toner ,Rp81.750-Rp183.750,4.6," (1,5k) "
 Full Fit Propolis Synergy Toner ,Rp76.300-Rp196.000,4.7," (3,5k) "
 Advanced Snail Peptide Eye Cream ,Rp352.750,4.5, (479) 
 AC Collection Calming Liquid Intensive ,Rp252.850,4.6, (353) 
 AC Collection Blemish Spot Serum ,Rp311.250,4.6, (251) 
 Full Fit Propolis Light Cream ,Rp399.200,4.6, (399) 
 Full Fit Propolis Light Ampoule ,Rp282.750,4.6, (424) 
 Hydrium Green Tea Soothing Cream + Centella Soothing Ampoule ,Rp511.000,,
 Snail Series (Advanced Snail Peptide Eye Cream + Advanced Snail 92 All in One Cream) ,Rp558.000,,
 Advanced Snail Peptide Eye Cream + Advanced Snail Mucin 96 Power Essence ,Rp563.200,,
 AC Must Have (AC Collection Calming Foam Cleanser + AC Collection Ultimate Spot Cream) ,Rp397.500,,
 AC Mild Treatment Set (Ultimate Spot Cream + Calming Liquid Mild) ,Rp492.800,,
 Acne Pimple Master Patch (Set of 3) ,Rp141.600,,
 Clear Fit Master Patch (Set of 3) ,Rp115.050,,
 Pure Fit Cica Cleanser ,Rp161.850,4.6, (260) 
 Pure Fit Cica Cream ,Rp329.250,4.6, (176) 
 Oily Skin Bundle ,Rp318.430,,
 Dry Skin Bundle ,Rp248.430,,
 Sensitive Skin Bundle ,Rp476.250,,
 Exfoliating + Hydrating ,Rp409.500,,
 Advanced Snail 96 Mucin Power Essence (Set of 2) ,Rp433.500,,
 Salicylic Acid Daily Gentle Cleanser (Set of 2) ,Rp217.000,,
 Centella Water Alcohol Free Toner (Set of 2) ,Rp301.000,,
 Pure Fit Cica Cleanser + Cream ,Rp516.000,,
 Advanced Snail Radiance Dual Essence ,Rp429.250,4.7, (136) 
 Advanced Snail Hydrogel Eye Patch ,Rp279.300,4.6, (111) 
 The Niacinamide 15 Serum ,Rp237.150,4.7, (940) 
 The Hyaluronic Acid 3 Serum ,Rp209.250,4.7, (201) 
 The Vitamin C 23 Serum ,Rp195.300,4.6," (1,1k) "
 Total Acne Care - The Niacinamide 15 Serum Low pH Good Morning Cleanser ,Rp318.000,,
 Plump and Hydrated Skin Bundle ,Rp296.800,,
 Vitamin E Vitalizing Sunscreen ,Rp227.500,4.7, (91) 
 The Retinol 0.5 Oil ,Rp332.000,4.7, (230) 
 The Retinol 0.1 Cream ,Rp290.500,4.6, (169) 
 Acne Drama free skin bundle ,Rp384.750,,
 Moisture skin ,Rp482.925,,
 Glowing skin ,Rp471.750,,
 Youthful skin bundle ,Rp644.250,,
 Oil free skin ,Rp458.430,,
 Fresh and Healthy Skin Bundle ,Rp248.500,,
